state,district,month,biometric_pressure_index
Andhra Pradesh,East Godavari,2025-03,0.32369969468552406
Andhra Pradesh,East Godavari,2025-04,-0.23938793987604015
Andhra Pradesh,East Godavari,2025-05,-0.525265321222192
Andhra Pradesh,East Godavari,2025-06,-0.3123569002102838
Andhra Pradesh,East Godavari,2025-07,-1.7159808096774136
Andhra Pradesh,East Godavari,2025-08,-0.0877003282812775
Andhra Pradesh,East Godavari,2025-09,2.038409698944597
Andhra Pradesh,East Godavari,2025-10,0.5986710728523271
Andhra Pradesh,East Godavari,2025-11,0.9509117834477765
Andhra Pradesh,East Godavari,2025-12,0.9203235039848943
Andhra Pradesh,Eluru,2025-01,0.10647975864276721
Andhra Pradesh,Eluru,2025-02,-1.2248950643864365
Andhra Pradesh,Eluru,2025-03,0.22794789584435188
Andhra Pradesh,Eluru,2025-04,0.3963828723149227
Andhra Pradesh,Eluru,2025-05,-1.1281725610879971
Andhra Pradesh,Eluru,2025-06,0.7740366704479822
Andhra Pradesh,Eluru,2025-07,-1.79895160589279
Andhra Pradesh,Eluru,2025-08,1.0015736598661622
Andhra Pradesh,Eluru,2025-09,0.5373982014530755
Andhra Pradesh,Eluru,2025-10,-0.5274749090240036
Andhra Pradesh,Eluru,2025-11,-0.2458978846190065
Andhra Pradesh,Eluru,2025-12,1.8815729664409708
Andhra Pradesh,Guntur,2025-01,-1.8362273412916001
Andhra Pradesh,Guntur,2025-02,0.3186855637810505
Andhra Pradesh,Guntur,2025-03,1.3098872583265115
Andhra Pradesh,Guntur,2025-04,0.33951166563377333
Andhra Pradesh,Guntur,2025-05,-0.21875398774084134
Andhra Pradesh,Guntur,2025-06,0.09771314304711891
Andhra Pradesh,Guntur,2025-07,-2.042279284513007
Andhra Pradesh,Guntur,2025-08,-0.37275499071625584
Andhra Pradesh,Guntur,2025-09,1.3632018203089478
Andhra Pradesh,Guntur,2025-10,0.4853779473424054
Andhra Pradesh,Guntur,2025-11,0.07787870694404571
Andhra Pradesh,Guntur,2025-12,0.4777594988778423
Andhra Pradesh,Hyderabad,2025-01,1.8556255828446226
Andhra Pradesh,Hyderabad,2025-02,-1.268278874813231
Andhra Pradesh,Hyderabad,2025-03,-0.2002399152122291
Andhra Pradesh,Hyderabad,2025-04,-0.25631390587668795
Andhra Pradesh,Hyderabad,2025-05,-0.3062008874487241
Andhra Pradesh,Hyderabad,2025-06,-0.9882541126393616
Andhra Pradesh,Hyderabad,2025-07,-1.5105100851692277
Andhra Pradesh,Hyderabad,2025-08,-0.5059559319644533
Andhra Pradesh,Hyderabad,2025-09,1.2187489274741992
Andhra Pradesh,Hyderabad,2025-10,0.13463390910595044
Andhra Pradesh,Hyderabad,2025-11,0.736915766588426
Andhra Pradesh,Hyderabad,2025-12,1.089829527110728
Andhra Pradesh,K.V. Rangareddy,2025-01,-0.8205458180307587
Andhra Pradesh,K.V. Rangareddy,2025-02,-0.4769396299988602
Andhra Pradesh,K.V. Rangareddy,2025-03,-0.6714464859459112
Andhra Pradesh,K.V. Rangareddy,2025-04,-0.25717214340933503
Andhra Pradesh,K.V. Rangareddy,2025-05,2.1072228847262457
Andhra Pradesh,K.V. Rangareddy,2025-06,-0.3935795488786955
Andhra Pradesh,K.V. Rangareddy,2025-07,-0.7825932607727973
Andhra Pradesh,K.V. Rangareddy,2025-08,1.7737825602455868
Andhra Pradesh,K.V. Rangareddy,2025-09,-0.8937400355996836
